DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-09-19 09:26:49,10,1098,0,17.733,12.286,549,355,194895,0,0,6.281,16.848
2025-09-19 09:26:51,10,2455,0,9.973,3.693,1227.5,355,435762.5,0,0,3.753,9.566
2025-09-19 09:26:53,10,2616,0,7.498,2.707,1308,355,464340,0,0,2.942,7.198
2025-09-19 09:26:55,10,2927,0,6.729,2.321,1463.5,355,519542.5,0,0,2.699,6.502
2025-09-19 09:26:57,10,2753,0,7.15,5.03,1376.5,355,488657.5,0,0,2.924,6.921
2025-09-19 09:26:59,10,3021,1,6.508,2.137,1510.5,355,536227.5,0,0,2.684,6.298
2025-09-19 09:27:01,10,1149,1847,7.319,2.914,574.5,355,203947.5,0,0,3.06,7.04
2025-09-19 09:27:03,10,2,3013,8,0,1,355,355,0,0,3,8
2025-09-19 09:27:05,10,0,2824,0,0,0,0,0,0,0,0,0
2025-09-19 09:27:07,10,0,2864,0,0,0,0,0,0,0,0,0
2025-09-19 09:27:09,10,0,2712,0,0,0,0,0,0,0,0,0
2025-09-19 09:27:11,10,0,2688,0,0,0,0,0,0,0,0,0
2025-09-19 09:27:13,10,1,2985,6,0,0.5,355,177.5,0,0,2,5
2025-09-19 09:27:15,10,0,2832,0,0,0,0,0,0,0,0,0
